term,variance,chi2,mutual_info,idf,avg_importance
jal,0.06152164555249521,0.6211474852947765,0.16281984138859798,,0.28182965741195654
dir,0.1284498864734492,0.6211474852947765,0.09156317023292974,,0.2803868473337185
nim,0.026184582146480687,0.6211474852947765,0.191069380018954,,0.2794671491534037
catat,0.1401760539991166,0.6211474852947765,0.06851962691406108,,0.2766143887359847
peroleh,0.012450338879365768,0.6211474852947765,0.1699461319766574,,0.2678479853835999
bandar,0.17934167053516867,0.6211474852947765,0.0,,0.2668297186099817
bank,0.17930802361226472,0.6211474852947765,0.0,,0.2668185029690137
banking,0.17720609311879576,0.6211474852947765,0.0,,0.26611785947119077
bca,0.17720609311879576,0.6211474852947765,0.0,,0.26611785947119077
situs,0.010718834796804966,0.6211474852947765,0.16281984138859845,,0.26489538716005995
giat,0.10057839984335325,0.3088425241182277,0.3823507406853217,,0.26392388821563423
otomatis,0.012450338879365768,0.6211474852947765,0.14917202853010145,,0.2609232842347479
lurah,0.05954908220447204,0.6211474852947765,0.10102124794254104,,0.2605726051472632
daring,0.13129930010091082,0.6211474852947765,0.022432540276323264,,0.25829310855733684
bonjol,0.14438899074054812,0.6211474852947765,0.0,,0.2551788253451082
dis,0.1284498864734492,0.15516436034459122,0.48028579979051356,,0.254633348869518
camat,0.14063660937243846,0.6211474852947765,0.0,,0.25392803155573834
gedung,0.10057839984335325,0.6211474852947765,0.03896079604967886,,0.25356222706260284
rencana,0.01141286007141825,0.6211474852947765,0.12537408349543638,,0.25264480962054375
daftar,0.1315913389612877,0.6211474852947765,0.0,,0.2509129414186881
resm,0.01141286007141825,0.6211474852947765,0.11961319766571922,,0.2507245143439713
spp,0.010718834796804966,0.6211474852947765,0.11460671355179843,,0.2488243445477933
rkomitmen,0.011096258557255845,0.30326351929784323,0.43090677839293784,,0.24842218541601233
dokumen,0.12021388410334527,0.6211474852947765,0.0,,0.2471204564660406
pts,0.01141286007141825,0.6211474852947765,0.099244351339219,,0.24393489890180456
kode,0.06152164555249521,0.6211474852947765,0.04163549304204639,,0.24143487462977267
ller,0.06052019031426804,0.6211474852947765,0.0403262008080211,,0.2406646254723552
format,0.10057839984335325,0.6211474852947765,0.0,,0.24057529504604325
fisik,0.10057839984335325,0.6211474852947765,0.0,,0.24057529504604325
kenal,0.06152164555249521,0.6211474852947765,0.03896079604967886,,0.24054330896565015
dokter,0.12807394179752657,0.15516436034459122,0.43495311486857213,,0.2393971390035633
informasi,0.0911100957728423,0.6211474852947765,0.0,,0.23741919368920628
kartu,0.06152164555249521,0.6211474852947765,0.013036809815950217,,0.23190198022107397
internet,0.07082873914432458,0.6211474852947765,0.0,,0.23065874147970034
pmb,0.01141286007141825,0.6211474852947765,0.05315726470148165,,0.22857253668922548
rstruktur,0.011096258557255845,0.15516436034459122,0.5175258117611851,,0.22792881022101072
kota,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
kidul,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
isi,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
krs,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
jawa,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
kanisme,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
khusus,0.06152164555249521,0.6211474852947765,0.0,,0.22755637694909056
lor,0.06052019031426804,0.6211474852947765,0.0,,0.22722255853634818
lanta,0.06052019031426804,0.6211474852947765,0.0,,0.22722255853634818
langsung,0.06052019031426804,0.6211474852947765,0.0,,0.22722255853634818
lam,0.06052019031426804,0.6211474852947765,0.0,,0.22722255853634818
mbayar,0.0512435523180588,0.6211474852947765,0.0,,0.22413034587094507
muat,0.0512435523180588,0.6211474852947765,0.0,,0.22413034587094507
muncul,0.04983800110651203,0.6211474852947765,0.0,,0.2236618288004295
nama,0.04983800110651203,0.6211474852947765,0.0,,0.2236618288004295
nanggung,0.04983800110651203,0.6211474852947765,0.0,,0.2236618288004295
ndaftar,0.04983800110651203,0.6211474852947765,0.0,,0.2236618288004295
kompeten,0.06152164555249521,0.15516436034459122,0.4510698787969484,,0.2225852948980116
milik,0.0512435523180588,0.3499599895815746,0.2584916953464021,,0.21989841241534513
njelas,0.026184582146480687,0.6211474852947765,0.0,,0.21577735581375238
nter,0.026184582146480687,0.6211474852947765,0.0,,0.21577735581375238
akademika,0.28725539936630146,0.15516436034459122,0.20438051773155755,,0.2156000924808167
nus,0.02433203297489763,0.6211474852947765,0.0,,0.2151598394232247
udinus,0.0,0.47763474913958937,0.16494588258766066,,0.21419354390908332
peserta,0.012450338879365768,0.6211474852947765,0.0,,0.2111992747247141
open,0.012450338879365768,0.6211474852947765,0.0,,0.2111992747247141
pasti,0.012450338879365768,0.6211474852947765,0.0,,0.2111992747247141
perlu,0.012450338879365768,0.6211474852947765,0.0,,0.2111992747247141
putus,0.01141286007141825,0.6211474852947765,0.0,,0.21085344845539825
rguru,0.01141286007141825,0.6211474852947765,0.0,,0.21085344845539825
rdir,0.01141286007141825,0.6211474852947765,0.0,,0.21085344845539825
rekening,0.01141286007141825,0.6211474852947765,0.0,,0.21085344845539825
remid,0.01141286007141825,0.6211474852947765,0.0,,0.21085344845539825
pjj,0.01141286007141825,0.6211474852947765,0.0,,0.21085344845539825
siadin,0.010718834796804966,0.6211474852947765,0.0,,0.21062210669719383
sistem,0.010718834796804966,0.6211474852947765,0.0,,0.21062210669719383
andal,0.25207875002017355,0.15516436034459122,0.2172739288742582,,0.20817234641300766
virtual,0.0,0.6211474852947765,0.0,,0.2070491617649255
tagih,0.0,0.6211474852947765,0.0,,0.2070491617649255
transfer,0.0,0.6211474852947765,0.0,,0.2070491617649255
